date,cases,deaths
1/21/2020,1,0
1/22/2020,1,0
1/23/2020,1,0
1/24/2020,2,0
1/25/2020,3,0
1/26/2020,5,0
1/27/2020,5,0
1/28/2020,5,0
1/29/2020,5,0
1/30/2020,6,0
1/31/2020,7,0
2/1/2020,8,0
2/2/2020,11,0
2/3/2020,11,0
2/4/2020,11,0
2/5/2020,12,0
2/6/2020,12,0
2/7/2020,12,0
2/8/2020,12,0
2/9/2020,12,0
2/10/2020,13,0
2/11/2020,13,0
2/12/2020,14,0
2/13/2020,15,0
2/14/2020,15,0
2/15/2020,15,0
2/16/2020,15,0
2/17/2020,25,0
2/18/2020,25,0
2/19/2020,25,0
2/20/2020,27,0
2/21/2020,30,0
2/22/2020,30,0
2/23/2020,30,0
2/24/2020,43,0
2/25/2020,45,0
2/26/2020,60,0
2/27/2020,60,0
2/28/2020,65,0
2/29/2020,70,1
3/1/2020,88,3
3/2/2020,104,6
3/3/2020,125,10
3/4/2020,161,12
3/5/2020,228,12
3/6/2020,311,15
3/7/2020,428,19
3/8/2020,547,22
3/9/2020,748,26
3/10/2020,1018,31
3/11/2020,1263,37
3/12/2020,1668,43
3/13/2020,2224,50
3/14/2020,2898,60
3/15/2020,3600,68
3/16/2020,4507,91
3/17/2020,5906,117
3/18/2020,8350,162
3/19/2020,12393,212
3/20/2020,18012,277
3/21/2020,24528,360
3/22/2020,33073,458
3/23/2020,43505,579
3/24/2020,53938,785
3/25/2020,68572,1054
3/26/2020,85570,1353
3/27/2020,102900,1770
3/28/2020,123966,2300
3/29/2020,142486,2718
3/30/2020,163955,3368
3/31/2020,188461,4304
4/1/2020,215391,5325
4/2/2020,245108,6541
4/3/2020,277426,7932
4/4/2020,312525,9488
4/5/2020,338141,10856
4/6/2020,369057,12382
4/7/2020,399394,14616
4/8/2020,431214,16701
4/9/2020,465913,18821
4/10/2020,499386,21084
4/11/2020,531106,23168
4/12/2020,558249,24849
4/13/2020,584018,26613
4/14/2020,610709,29318
4/15/2020,640742,32070
4/16/2020,672355,34419
4/17/2020,703864,36708
4/18/2020,732262,38659
4/19/2020,757596,40179
4/20/2020,784991,42016
4/21/2020,810505,44688
4/22/2020,839336,47059
4/23/2020,873112,49228
4/24/2020,909853,51360
4/25/2020,944261,53327
4/26/2020,970996,54580
4/27/2020,994193,56022
4/28/2020,1018844,58416
4/29/2020,1045399,60930
4/30/2020,1075756,63140
5/1/2020,1109726,64902
5/2/2020,1139200,66485
5/3/2020,1165340,67816
5/4/2020,1187302,68905
5/5/2020,1211011,71139
5/6/2020,1235517,73847
5/7/2020,1263995,75805
5/8/2020,1291643,77380
5/9/2020,1316511,78834
5/10/2020,1336828,79766
5/11/2020,1354449,80748
5/12/2020,1376749,82400
5/13/2020,1397894,84168
5/14/2020,1424856,85906
5/15/2020,1451093,87499
5/16/2020,1474752,88724
5/17/2020,1493766,89568
5/18/2020,1515593,90414
5/19/2020,1536570,91934
5/20/2020,1559640,93411
5/21/2020,1585373,94722
5/22/2020,1609172,96010
5/23/2020,1631440,97060
5/24/2020,1651471,97680
5/25/2020,1670571,98190
5/26/2020,1689467,98937
5/27/2020,1708211,100422
5/28/2020,1730723,101622
5/29/2020,1755271,102812
5/30/2020,1778668,103775
5/31/2020,1799302,104379
6/1/2020,1821199,105113
